#############################################;;;;;;;;;;;;;;x
#New Bookmarks;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
GW_NAME;Intermezzo;;;;;;;;;;;x
GW_DESC;In this year the house of Romanov shall celebrate the 300th anniversary of its succession to the russian throne as a young georgian named Joseph Vissarionovich Stalin travels to Vienna to further his studies.;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New Tags;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
SEN;Senusiyya;Senusiyya;Senusiyya;;Senusiyya;;;;;;;;;;;;;x
SEN_ADJ;Senussi;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New Decisions;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
pressure_the_north_italians_title;Pressure North Italian Union;;;;;;;;;;;;;x
pressure_the_north_italians_desc;With our influence over the independent states in northern italy we can 'convince' them to join Sardinia-Piedmont if that suits our aims in the region. WARNING: This decision will inherit ALL of the sphered minors in north italy into Sardinia-Piedmont.;;;;;;;;;;;;;x
vive_la_france_title;Vive la France!;;;;;;;;;;;;;x
vive_la_france_desc;In light of recent french triumphs the pride that the people have in their nation has soared. With a little push in the right direction we can make use of the press to reinforce this pride and encourage celebrations all across France.\nNote: This modifier will last for 25 years BUT it can be ended early by being humiliated.;;;;;;;;;;;;;;x
the_belgian_people_title;The Belgian People;;;;;;;;;;;;;x
the_belgian_people_desc;The future of Belgium lies in it's ability to estabilish a belgian people, and as such it is our responsibility to spare no resource to achieve this goal.\nNote: This decision increases the base rate of assimilation by 20% even though this is not displayed in game.;;;;;;;;;;;;;;x
balkan_compromise_title;The Balkan Compromise;;;;;;;;;;;;;x
balkan_compromise_desc;Our christian subjects have enjoyed many privileges and great autonomy throught the history of our empire, yet our recent conflicts have emboldened their disloyalty. Shameful as it may be, making concessions such as absolving the christian tax would be enough to secure their loyalty.;;;;;;;;;;;;;;x
